,Cust_Id,Movie_Id,Rating
3831,691460,5,3.0
5755,107840,8,2.0
6809,732873,8,3.0
7037,2621026,8,4.0
7445,497548,8,4.0
9248,230186,8,3.0
9348,46716,8,4.0
11305,2453978,8,2.0
11792,2383529,8,3.0
12197,2537651,8,2.0
12341,2604123,8,3.0
13092,579959,8,1.0
14957,2130333,8,5.0
16369,1607785,8,3.0
16815,357229,8,1.0
17651,1802059,8,1.0
18044,566173,8,3.0
19541,1203523,8,2.0
21363,107840,15,3.0
22629,2390221,16,4.0
24835,487068,17,3.0
26672,2308573,17,3.0
27487,146656,17,3.0
28040,2564293,17,3.0
30765,1001994,17,2.0
31002,818450,17,4.0
31796,86256,18,3.0
31822,104851,18,5.0
31946,107840,18,3.0
32580,280621,18,5.0
33157,720084,18,5.0
33701,2134151,18,3.0
34493,692652,18,3.0
35791,1995099,18,2.0
36564,1548992,18,5.0
36612,2604123,18,4.0
39409,1607785,18,4.0
39818,837133,18,3.0
40280,384454,18,4.0
40750,390505,18,4.0
41796,1565184,18,5.0
42037,1640555,18,5.0
42297,1265971,19,4.0
42997,837133,21,2.0
43415,794884,23,4.0
45927,1038731,25,5.0
47158,536513,26,2.0
47378,2566306,26,3.0
48783,1030715,26,4.0
49514,579959,26,2.0
50904,1821378,26,3.0
54597,1339110,28,3.0
55327,1989186,28,5.0
55573,2353162,28,5.0
57156,1788130,28,2.0
57666,1870121,28,4.0
57858,536513,28,5.0
58924,659867,28,3.0
60113,214673,28,4.0
61872,838868,28,4.0
62287,794884,28,4.0
62580,2604217,28,3.0
62718,1765734,28,4.0
62984,101870,28,5.0
64509,914958,28,3.0
64680,2386059,28,5.0
65593,360771,28,4.0
65958,1926890,28,5.0
66248,1937067,28,5.0
67042,2188046,28,3.0
67626,2163459,28,3.0
67700,1417600,28,5.0
68545,1995099,28,5.0
69995,146656,28,3.0
71754,891215,28,4.0
73672,579959,28,4.0
77407,2248017,28,5.0
77663,1126718,28,5.0
77692,499012,28,5.0
78139,2470767,28,5.0
81084,25602,28,5.0
82437,2574234,28,1.0
83590,837133,28,1.0
85203,1476266,28,3.0
85611,788571,28,5.0
85713,1661621,28,4.0
85749,1329217,28,5.0
85788,1066688,28,4.0
85950,1802059,28,5.0
86345,2579346,28,5.0
87220,1695599,28,5.0
87915,1060226,28,5.0
88013,1016653,28,4.0
90393,2412063,28,5.0
92198,788170,28,4.0
94427,2249199,30,4.0
96275,1705825,30,5.0
96827,104851,30,4.0
97415,2093125,30,3.0
97660,2261600,30,4.0
97961,107840,30,4.0
99845,2129762,30,5.0
104830,280621,30,5.0
105518,477737,30,4.0
105562,2617868,30,3.0
105830,2575674,30,5.0
106384,1259846,30,5.0
106638,1788130,30,2.0
107024,899895,30,2.0
107554,613585,30,4.0
107761,2621026,30,5.0
107991,1870121,30,4.0
108213,536513,30,3.0
110727,1140690,30,3.0
111713,659867,30,4.0
113248,2566306,30,4.0
114121,1919241,30,4.0
114213,21652,30,5.0
